loss_kl,loss_pol_surr,loss_ent,EpLenMean,ev_tdlam_before,loss_vf_loss,EpisodesSoFar,EpRewMean,EpThisIter,loss_pol_entpen,TimestepsSoFar,TimeElapsed
0.010071569,-0.002144429,2.0697463,571.2,-1.9479787349700928,0.020810613,623,-4.85,623,0.0,393216,12.640143871307373
0.0069677285,-0.00084439525,2.0570662,574.03,0.49429184198379517,0.016525066,1312,-4.84,689,0.0,786432,24.641464471817017
0.0034209676,-0.00067170156,2.0591073,573.15,0.8119412213563919,0.016025828,2010,-4.85,698,0.0,1179648,36.673391819000244
0.0075377687,-0.0010393641,2.06617,563.44,0.8546358346939087,0.017381959,2693,-4.85,683,0.0,1572864,48.30123829841614
0.006723579,-0.0013049729,2.065005,556.8,0.855942502617836,0.016146662,3400,-4.88,707,0.0,1966080,59.65988731384277
0.007391058,-0.001852896,2.0590851,583.94,0.8427743762731552,0.016994087,4078,-4.9,678,0.0,2359296,71.60008478164673
0.0062026433,-0.002152066,2.0513985,620.43,0.8219639807939529,0.017086213,4726,-4.85,648,0.0,2752512,83.34897422790527
0.0066615175,-0.0021049017,2.034732,606.26,0.863137498497963,0.017134523,5349,-4.89,623,0.0,3145728,95.04446411132812
0.006134626,-0.0015881882,2.0150375,664.91,0.8167154043912888,0.016194459,5952,-4.85,603,0.0,3538944,106.87142252922058
0.0048929364,-0.0018395357,1.9956526,662.66,0.8591756671667099,0.016082378,6544,-4.82,592,0.0,3932160,118.62664294242859
0.006352683,-0.0024448063,1.976415,674.65,0.8530676662921906,0.016365638,7126,-4.81,582,0.0,4325376,130.36978435516357
0.005468696,-0.0027197956,1.9488775,711.35,0.808478906750679,0.01742127,7663,-4.85,537,0.0,4718592,142.1238694190979
0.005649172,-0.002854583,1.9264458,763.56,0.8283912837505341,0.01688607,8183,-4.85,520,0.0,5111808,153.99337673187256
0.0053479024,-0.0028692924,1.9019266,794.9,0.8133783042430878,0.016567966,8672,-4.86,489,0.0,5505024,165.72264170646667
0.004966838,-0.0031193364,1.8718948,853.98,0.7665554136037827,0.016974106,9120,-4.83,448,0.0,5898240,177.40652203559875
0.0050259554,-0.003693873,1.8438997,991.49,0.6762152910232544,0.016240565,9512,-4.88,392,0.0,6291456,189.16219282150269
0.005106667,-0.0041761887,1.8180672,1113.81,0.7749559283256531,0.015076407,9861,-4.81,349,0.0,6684672,201.03495359420776
0.004167959,-0.004128283,1.786534,1442.78,0.7011336088180542,0.014102109,10143,-4.79,282,0.0,7077888,212.71273493766785
0.0039773523,-0.003882697,1.7563046,1768.55,0.6929678022861481,0.012972522,10354,-4.55,211,0.0,7471104,224.59438729286194
0.004270767,-0.0040831952,1.7304345,2207.85,0.705926924943924,0.010438482,10519,-4.45,165,0.0,7864320,236.50841093063354
0.0030462618,-0.003375312,1.7166446,2619.01,0.5827913582324982,0.009377476,10670,-3.53,151,0.0,8257536,248.21658325195312
0.0031478072,-0.0030738378,1.7069378,2903.94,0.516018807888031,0.00756469,10803,-2.46,133,0.0,8650752,259.98885321617126
0.0040069786,-0.002669078,1.6954647,2985.2,0.4794619083404541,0.0055841506,10928,-1.59,125,0.0,9043968,271.7264964580536
0.0035806808,-0.0022086117,1.6878136,3000.0,0.5423052608966827,0.004454673,11065,-1.04,137,0.0,9437184,283.38943099975586
0.003117063,-0.0017391872,1.6791992,2997.31,-0.07229936122894287,0.0036577554,11196,-0.43,131,0.0,9830400,294.6589026451111
0.0031767066,-0.0016833598,1.6797665,3000.0,0.08724647760391235,0.0027646646,11317,-0.31,121,0.0,10223616,306.1165373325348
0.0030003309,-0.0017263755,1.667041,3000.0,0.6853591501712799,0.002924008,11462,-0.27,145,0.0,10616832,317.84608340263367
0.0035143457,-0.0012322166,1.6470865,3000.0,0.48880821466445923,0.0023811515,11589,-0.21,127,0.0,11010048,329.66835498809814
0.004239196,-0.0016706171,1.6296939,3000.0,-0.843369722366333,0.0022978636,11713,0.03,124,0.0,11403264,341.4093129634857
0.0025188194,-0.0014262083,1.62953,3000.0,0.609336256980896,0.0020588974,11856,0.18,143,0.0,11796480,352.8328642845154
0.0030758157,-0.0010997095,1.613533,3000.0,-1.2726044654846191,0.0018227588,11977,0.16,121,0.0,12189696,364.1871955394745
0.0035991652,-0.0015524854,1.6133499,3000.0,0.5923882126808167,0.002073368,12114,0.18,137,0.0,12582912,375.857528924942
0.002975069,-0.00121834,1.6025332,3000.0,-1.0451428890228271,0.0019536938,12246,0.12,132,0.0,12976128,387.61191487312317
0.0032301117,-0.0012432785,1.5993594,3000.0,-0.12645769119262695,0.00189602,12369,0.31,123,0.0,13369344,399.2392144203186
0.0027001146,-0.001412701,1.58744,3000.0,0.3469724655151367,0.0017622366,12506,0.16,137,0.0,13762560,410.746276140213
0.0025948405,-0.0012860397,1.5858091,3000.0,0.674483060836792,0.0017735258,12639,0.11,133,0.0,14155776,421.99167132377625
0.0036715353,-0.0012216718,1.5684528,3000.0,0.5930292308330536,0.0017520422,12761,0.17,122,0.0,14548992,433.18064761161804
0.0028690742,-0.0012382726,1.5581633,3000.0,0.6229397058486938,0.0013962894,12904,0.19,143,0.0,14942208,444.6941306591034
0.004182236,-0.00093647785,1.538836,3000.0,0.6174841225147247,0.0013953261,13029,0.23,125,0.0,15335424,456.47547602653503
0.0037394501,-0.0010696388,1.5276502,3000.0,-0.4145536422729492,0.0020145515,13155,0.12,126,0.0,15728640,468.3382320404053
0.0030844014,-0.0011864405,1.5086483,3000.0,0.6936043500900269,0.001893157,13298,0.19,143,0.0,16121856,480.0735991001129
0.0033635402,-0.0012492514,1.5040678,3000.0,0.5809064209461212,0.0019013317,13419,0.13,121,0.0,16515072,491.7900824546814
0.0035352998,-0.0013495305,1.4737906,3000.0,-0.6079798936843872,0.0016217572,13556,0.23,137,0.0,16908288,503.702184677124
0.003328124,-0.0011304301,1.4644752,3000.0,0.06035661697387695,0.0015103667,13689,0.38,133,0.0,17301504,515.3664164543152
0.0035075732,-0.001183295,1.4552469,3000.0,-0.5048661231994629,0.0019694306,13810,0.34,121,0.0,17694720,526.9811577796936
0.00334456,-0.0012309533,1.4327754,3000.0,0.5322139263153076,0.0018287305,13948,0.24,138,0.0,18087936,538.5994436740875
0.003433032,-0.0012315946,1.4144031,3000.0,-0.6513925790786743,0.0014713275,14079,0.35,131,0.0,18481152,550.4338984489441
